# time pixelation values
# data save on: 2023-04-14T17:10:32-03:00
equator	age	stage-pixel	value
180	0	0	1
180	0	1	1
180	0	2	1
180	0	3	1
180	0	4	1
180	0	5	1
180	0	6	1
180	0	7	1
180	0	8	1
180	0	9	1
180	0	10	1
180	0	11	1
180	0	12	1
180	0	13	1
180	0	14	1
180	0	15	1
180	0	16	1
180	0	17	1
180	0	18	1
180	0	19	1
180	0	20	1
180	0	21	1
180	0	22	1
180	0	23	1
180	0	24	1
180	0	25	1
180	0	26	1
180	0	27	1
180	0	28	1
180	0	29	1
180	0	30	1
180	0	31	1
180	0	32	1
180	0	33	1
180	0	34	1
180	0	35	1
180	0	36	1
180	0	37	1
180	0	38	1
180	0	39	1
180	0	40	1
180	0	41	1
180	0	42	1
180	0	43	1
180	0	44	1
180	0	45	1
180	0	46	3
180	0	47	3
180	0	48	3
180	0	49	3
180	0	50	3
180	0	51	1
180	0	52	1
180	0	53	1
180	0	54	1
180	0	55	1
180	0	56	1
180	0	57	1
180	0	58	1
180	0	59	1
180	0	60	1
180	0	61	1
180	0	62	1
180	0	63	1
180	0	64	1
180	0	65	1
180	0	66	1
180	0	67	1
180	0	68	1
180	0	69	1
180	0	70	1
180	0	71	3
180	0	72	3
180	0	73	1
180	0	74	3
180	0	75	3
180	0	76	3
180	0	77	3
180	0	78	1
180	0	79	1
180	0	80	1
180	0	81	3
180	0	82	1
180	0	83	1
180	0	84	1
180	0	85	1
180	0	86	1
180	0	87	3
180	0	88	1
180	0	89	1
180	0	90	1
180	0	91	1
180	0	92	1
180	0	93	1
180	0	94	1
180	0	95	1
180	0	96	1
180	0	97	1
180	0	98	1
180	0	99	1
180	0	100	1
180	0	101	1
180	0	102	3
180	0	103	1
180	0	104	1
180	0	105	1
180	0	106	1
180	0	107	3
180	0	108	3
180	0	109	3
180	0	110	3
180	0	111	3
180	0	112	1
180	0	113	1
180	0	114	1
180	0	115	3
180	0	116	1
180	0	117	1
180	0	118	1
180	0	119	1
180	0	120	1
180	0	121	1
180	0	122	1
180	0	123	1
180	0	124	1
180	0	125	1
180	0	126	1
180	0	127	1
180	0	128	1
180	0	129	1
180	0	130	1
180	0	131	1
180	0	132	1
180	0	133	1
180	0	134	1
180	0	135	1
180	0	136	1
180	0	137	1
180	0	138	1
180	0	139	1
180	0	140	1
180	0	141	3
180	0	142	1
180	0	143	1
180	0	144	1
180	0	145	1
180	0	146	1
180	0	147	3
180	0	148	3
180	0	149	3
180	0	150	3
180	0	151	3
180	0	152	1
180	0	153	1
180	0	154	1
180	0	155	1
180	0	156	1
180	0	157	1
180	0	158	1
180	0	159	1
180	0	160	1
180	0	161	3
180	0	162	1
180	0	163	1
180	0	164	1
180	0	165	3
180	0	166	3
180	0	167	3
180	0	168	1
180	0	169	1
180	0	170	1
180	0	171	1
180	0	172	1
180	0	173	1
180	0	174	1
180	0	175	1
180	0	176	1
180	0	177	1
180	0	178	1
180	0	179	1
180	0	180	1
180	0	181	1
180	0	182	1
180	0	183	1
180	0	184	3
180	0	185	1
180	0	186	1
180	0	187	1
180	0	188	3
180	0	189	1
180	0	190	1
180	0	191	1
180	0	192	1
180	0	193	1
180	0	194	3
180	0	195	3
180	0	196	3
180	0	197	3
180	0	198	3
180	0	199	1
180	0	200	1
180	0	201	1
180	0	202	1
180	0	203	1
180	0	204	1
180	0	205	1
180	0	206	1
180	0	207	1
180	0	208	1
180	0	209	3
180	0	210	1
180	0	211	1
180	0	212	1
