equator	plate	pixel	age	stage-pixel
180	0	0	0	0
180	0	0	4500000000	0
180	0	1	0	1
180	0	1	4500000000	1
180	0	2	0	2
180	0	2	4500000000	2
180	0	3	0	3
180	0	3	4500000000	3
180	0	4	0	4
180	0	4	4500000000	4
180	0	5	0	5
180	0	5	4500000000	5
180	0	6	0	6
180	0	6	4500000000	6
180	0	7	0	7
180	0	7	4500000000	7
180	0	8	0	8
180	0	8	4500000000	8
180	0	9	0	9
180	0	9	4500000000	9
180	0	10	0	10
180	0	10	4500000000	10
180	0	11	0	11
180	0	11	4500000000	11
180	0	12	0	12
180	0	12	4500000000	12
180	0	13	0	13
180	0	13	4500000000	13
180	0	14	0	14
180	0	14	4500000000	14
180	0	15	0	15
180	0	15	4500000000	15
180	0	16	0	16
180	0	16	4500000000	16
180	0	17	0	17
180	0	17	4500000000	17
180	0	18	0	18
180	0	18	4500000000	18
180	0	19	0	19
180	0	19	4500000000	19
180	0	20	0	20
180	0	20	4500000000	20
180	0	21	0	21
180	0	21	4500000000	21
180	0	22	0	22
180	0	22	4500000000	22
180	0	23	0	23
180	0	23	4500000000	23
180	0	24	0	24
180	0	24	4500000000	24
180	0	25	0	25
180	0	25	4500000000	25
180	0	26	0	26
180	0	26	4500000000	26
180	0	27	0	27
180	0	27	4500000000	27
180	0	28	0	28
180	0	28	4500000000	28
180	0	29	0	29
180	0	29	4500000000	29
180	0	30	0	30
180	0	30	4500000000	30
180	0	31	0	31
180	0	31	4500000000	31
180	0	32	0	32
180	0	32	4500000000	32
180	0	33	0	33
180	0	33	4500000000	33
180	0	34	0	34
180	0	34	4500000000	34
180	0	35	0	35
180	0	35	4500000000	35
180	0	36	0	36
180	0	36	4500000000	36
180	0	37	0	37
180	0	37	4500000000	37
180	0	38	0	38
180	0	38	4500000000	38
180	0	39	0	39
180	0	39	4500000000	39
180	0	40	0	40
180	0	40	4500000000	40
180	0	41	0	41
180	0	41	4500000000	41
180	0	42	0	42
180	0	42	4500000000	42
180	0	43	0	43
180	0	43	4500000000	43
180	0	44	0	44
180	0	44	4500000000	44
180	0	45	0	45
180	0	45	4500000000	45
180	0	46	0	46
180	0	46	4500000000	46
180	0	47	0	47
180	0	47	4500000000	47
180	0	48	0	48
180	0	48	4500000000	48
180	0	49	0	49
180	0	49	4500000000	49
180	0	50	0	50
180	0	50	4500000000	50
180	0	51	0	51
180	0	51	4500000000	51
180	0	52	0	52
180	0	52	4500000000	52
180	0	53	0	53
180	0	53	4500000000	53
180	0	54	0	54
180	0	54	4500000000	54
180	0	55	0	55
180	0	55	4500000000	55
180	0	56	0	56
180	0	56	4500000000	56
180	0	57	0	57
180	0	57	4500000000	57
180	0	58	0	58
180	0	58	4500000000	58
180	0	59	0	59
180	0	59	4500000000	59
180	0	60	0	60
180	0	60	4500000000	60
180	0	61	0	61
180	0	61	4500000000	61
180	0	62	0	62
180	0	62	4500000000	62
180	0	63	0	63
180	0	63	4500000000	63
180	0	64	0	64
180	0	64	4500000000	64
180	0	65	0	65
180	0	65	4500000000	65
180	0	66	0	66
180	0	66	4500000000	66
180	0	67	0	67
180	0	67	4500000000	67
180	0	68	0	68
180	0	68	4500000000	68
180	0	69	0	69
180	0	69	4500000000	69
180	0	70	0	70
180	0	70	4500000000	70
180	0	71	0	71
180	0	71	4500000000	71
180	0	72	0	72
180	0	72	4500000000	72
180	0	73	0	73
180	0	73	4500000000	73
180	0	74	0	74
180	0	74	4500000000	74
180	0	75	0	75
180	0	75	4500000000	75
180	0	76	0	76
180	0	76	4500000000	76
180	0	77	0	77
180	0	77	4500000000	77
180	0	78	0	78
180	0	78	4500000000	78
180	0	79	0	79
180	0	79	4500000000	79
180	0	80	0	80
180	0	80	4500000000	80
180	0	81	0	81
180	0	81	4500000000	81
180	0	82	0	82
180	0	82	4500000000	82
180	0	83	0	83
180	0	83	4500000000	83
180	0	84	0	84
180	0	84	4500000000	84
180	0	85	0	85
180	0	85	4500000000	85
180	0	86	0	86
